id,question,gold_standard_answer,gold_standard_documents,,,
0,What ports are required to be open for Windows PowerShell Monitoring?,"unencrypted port= 5985, encrypted port= 5986",sciencelogic_installation_12-3-3,,,
1,How can I add space to a database partition?,Run the lvextend -L command,Increasing System Resources on Appliances,,,
2,"How to resolve Preupgrade Failing with ""Yum upgrade test failed on appliance 1 with exit code 1""?","When encountering a """"Yum upgrade test failed on appliance 1 with exit code 1"""" during pre-upgrade, follow these steps based on the most common causes:

1. Check for Disk Space Issues
Symptom: Disk space test passes, but Yum upgrade fails despite sufficient space.
Root Cause: Yum cache can consume up to 3GB during upgrade.
Solution:
Free up space by removing Docker images:
sudo ls -lah /opt/em7/services/cu_docker_imgs.tgz
sudo rm -f /opt/em7/services/cu_docker_imgs.tgz
(This frees 650–780MB.)
If more space is needed:
Remove unsupported agents (Azure, Splunk, Nessus, etc.).
Extend the root partition using lvextend and xfs_growfs:
sudo lvextend /dev/mapper/em7vg-root -L+<size>M
sudo xfs_growfs /
(Example: sudo lvextend /dev/mapper/em7vg-root -L+500M; sudo xfs_growfs /)
2. Check for Conflicting or Custom Packages
Symptom: Package dependency conflicts (e.g., nscd conflicting with glibc).
Root Cause: Custom packages installed outside SL1 support.
Solution:
Identify custom packages:
repo_list=$({ yum list installed | awk '$3 ~ /^ @/ {print $3}' | sort | uniq | ↓ grep -vE '@anaconda|@em7*|@/galera-4|@/MariaDB-   server|@/socat'; } 2>/dev/null); for repo in $(echo $repo_list); do yum list installed | grep $repo; done
Review yum history to find manually installed packages.
Remove conflicting packages using yum remove <package>.
3. Handle Specific Known Issues
From 11.3.2.1+ to 12.1.1:

This upgrade path is invalid due to version ordering.
Fix: Upgrade to 12.1.2+ instead.
Stale ppe RPM (12.3.2 → 12.3.x):

Remove the stale package:
rpm -ev ppe-deserialization-issue-12.3.2-0.0.1-0.el8.x86_64 --nodeps
Duplicate em7-web-ui packages:

Identify the older version via rpm -qi <package> (check Build Date).
Remove the older duplicate:
rpm -ev --nodeps --noscripts --notriggers <Old rpm name>
drbd-bash-completion conflict (12.1.2):

Use a yum.ts file to skip the package during upgrade:
touch /tmp/.proc_mgr_pause
vi yum.ts
Insert:
repo disable *
repo enable em7,em7-os
remove drbd-bash-completion
upgrade
ts solve
Run:
sudo yum --disablerepo=* --enablerepo=em7,em7-os --nogpgcheck --assumeyes shell yum.ts
shim-64 conflict (older ISOs):

Remove the conflicting package:
sudo rpm -e --nodeps shim-x64
sudo yum upgrade --setopt tsflags=test --disablerepo=* --enablerepo=em7,em7-os -nogpgcheck -y
4. General Troubleshooting
Check /var/log/em7/patch_manager.log for detailed errors.
Run manual Yum test:
sudo yum upgrade --setopt tsflags=test --disablerepo=* --enablerepo=em7,em7-os -nogpgcheck -y
If RPM DB is corrupted:
mkdir -p /tmp/rpm.bak
cp /var/lib/rpm/* /tmp/rpm.bak
rm -f /var/lib/rpm/__db*
rm -f /var/lib/rpm/.*.lock
rpm --rebuilddb -vv
rm -Rf /tmp/rpm.bak
5. Workaround: Move Yum Cache to /tmp
If no space to extend partition:

Move cache to /tmp:
mkdir /tmp/yumrepo
chmod 755 /tmp/yumrepo
cp /etc/yum.conf /tmp/yum.conf.original
vi /etc/yum.conf
Change cachedir to /tmp/yumrepo/$basesearch/$releasever.
yum --enablerepo=* clean all
rm -rf /opt/em7/cache/yum
df -h
Retry pre-upgrade.
Note: Always document changes and revert cache location post-upgrade if needed.
For persistent issues, open a case with ScienceLogic Support.",Yum upgrade test failed during pre-upgrade,,,
3,When will SL1 upgrade JQuery?,"Currently, we use JQuery 1.5.2 in SL1 and ScienceLogic will not be upgrading JQuery past this version. However, if there is a Major or Critical vulnerability affecting JQuery that is fixed by the vendor, ScienceLogic will backport the security fix to the JQuery version we use, if it makes sense. In the future, we will eventually stop using JQuery.
We also do not support nor recommend upgrading JQuery outside of the normal SL1 system update process, as doing so will break functionality in SL1.",JQuery is Outdated in Security Scans,,,
4,"How do I fix the Windows PowerShell error ""Configuration file does not specify default realm""?","1.On the collector open the /etc/krb5.conf file
2.For the specified KDC for the domain/realm follow the instructions at page bottom for checking forward and reverse lookup.","Windows PowerShell Common errors and reasons v2, ENG-Powershell Collection Troubleshooting-031025-024433",,,
5,"How do I fix the Windows PowerShell error ""The specified credentials were rejected by the server""?","Solution-1:
Execute winrm configSDDL default on the Windows device and ensure the user has Read and Execute permissions.
Ensure the user is a local admin or a member of the following groups:
Performance Monitor Users
Event Log Readers
Distributed COM Users
Remote Management Users
WinRMRemoteWMIUsers__ (if present on Windows device)
Make sure an AV or other security product is not blocking the user from connecting to WinRM.
If the HTTP/<FQDN> SPN is set on the server, try using WSMAN://%D or HOST://%D in the host field of the credential instead of %D.
This error sometimes gets bubbled up instead of the “clock skew too great”, check time and NTP settings.
Solution-2:
In the PowerShell credential being used, include the prefix HOST or WSMAN before the entry used in the Hostname/IP text field.
For example: HOST://%D or WSMAN://%D.
SL1 will use the WinRM service HOST or WSMan instead of HTTP and replace the variable with the IP address of the device that is currently using the credential.","ENG-Powershell Collection Troubleshooting-031025-024433, Windows PowerShell Common errors and reasons v2",,,
6,Why is Nightly Discovery removing the device class of my SNMP device?,"This is a known issue. To resolve, follow these steps:
Step 1: Manually reset the device class and category
Wrench the device in Registry → Device Manager, and next to the Device Class field on the Device Summary page, click the red icon to change the device class to what it should be
Step 2: Consider disabling Auto-Update for the device
If the device’s ports, network interfaces, and other properties are not expected to change, consider disabling the Auto-Update property of the device (which can also be done on the Device Summary page)
Or upgrade SL1 to 12.3.6.",Nightly_Discovery,,,
7,How can I verify my couchbase data?,"To validate if the most recent data is present on which node after a failover, you can follow these steps:
 
 
1- Check Couchbase UI : Couchbase provides a web-based UI using the PF URL or Load balancer URL https://<PF URL>:8091 or https://<PF IP>:8091 as a first step to monitor the cluster status and data distribution. You can use the Couchbase UI to view the cluster topology and rebalance status. If the UI is not showing the cluster and it loaded the fresh couchbase UI to create a New cluster it's more of an issue that this node has no recent data present. 
If a node fail-over triggered on Node1 where Load balancer is pointing to, then it will show the node status as not initialized and will show the options as seen in below screenshot.

In this scenario, Try to access the Couchbase UI using the secondary Ports
 
If you're accessing the Couchbase UI using a Load-balancer URL it is possible that it is pointing to a node that has no data. So, try to access the couchbase using the secondary ports by accessing the individual manager nodes using the following steps. This will show which node has the data and will load the UI with current status and replication. 
 
Try with these ports 
https://<PF Loadbalancer URL>:8100 (or) 8101
https://<PF manager node2>:8100
 https://<PF manager node3>:8101
 
If the CouchBase UI loads with the secondary ports it will most likely show the below status with one node in failover state and 2 are clustered and Healthy. It is also possible it just shows 2 nodes if someone took action that kick out that node from the cluster.

 
 
 
Refer to the documentation link here to expose the couchbase ports temporarily to troubleshoot if the above steps are not working.
 
2- Monitor Replication: Couchbase replicates data across nodes based on the configured replication factor. Once you are able to access the UI you can click on Add-back Full Recovery mode if you see the node failover and click 'Auto-Rebalance' to sync with the cluster. By monitoring the replication status, you can ensure that the most recent data is replicated to the required number of nodes.
 
3- Review Logs: Couchbase logs provide valuable information about cluster events, including fail-overs and data re-balancing. Reviewing the logs can help you understand how data redistribution occurred after the failover and confirm the presence of the most recent data on the remaining nodes.
 
docker service logs -f -t --since 10m iservices_couchbase
docker service logs -f -t --since 10m iservices_couchbase-worker
docker service logs -f -t --since 10m iservices_couchbase-worker2
The flag --since 10m to review logs for last 10mins
 
Please raise a support case if you are not sure on the process or unable to validate the data integrity of Couchbase nodes.",sciencelogic_powerflow_3-2-0,,,
8,What is the best way to stop all monitoring of ALL Virtual Machines under a specific Cluster,"Steps to Resolve: There are 3 Discovery Dynamic Applications that can discover Virtual Machines in the VMware: vSphere Base Pack: VMware: HostSystem VM Discovery VMware: ResourcePool VM Discovery VMware: ClusterComputeResourceVM Discovery First, disable the three Dynamic Applications listed above for the vCenter you would like to stop monitoring. This will ensure that VirtualMachines are not discovered. Second, you will have to manually delete all the VMs already discovered in the DCM.",What is the best way to stop all monitoring of ALL Virtual Machines,,,
9,"As a SaaS customer, should I discover the IPs of my AWS DE's in my SL1 platform?","Answer:
No, this can actually lead to various issues in SaaS platforms. This puts extra load on the self monitoring collector which is only expected to monitor the SL1 Stats device, and is not expected to have the extra load that would be placed on it by monitoring the DEs directly. The DEs are already being monitored by the SRE team in the internal SL1 platform, so the DEs should not be discovered by IP within the customer's instance of SL1.","sciencelogic_saas_vpn_12-2-0, SaaS_Customer",,,
10,"When I am upgrading Syncpacks how can I check compatibility with my current Powerflow Version, existing Syncpacks and ServiceNow Version?",Answer: To check compatibility for the above please see the Release Matrix for the various dependencies. Be aware that for some of the Syncpacks the ServiceNow Minimum version is also applicable.,sciencelogic_powerflow_3-2-0,,,
11,What is the specific data that is affected by the settings in the System > Settings > Data Retention page?,"Answer: For an overview of what each Data Retention setting affects, please review our documentation here Global Settings. Some of the settings, however, cover a larger portion of data than what the setting name would suggest. Below is a list of the settings in the Data Retention page and the multiple types of data affected by that setting. Note that this list does not include all of the settings in the Data Retention page. If a setting is missing from the list below, it is because that specific setting only affects the data matching the setting name, for example, the Audit Logs settings only affect the audit logs.","sciencelogic_IT_services_classic_12-3-0, sciencelogic_sysadmin_12-5-4",,,
12,Can I update SL1 appliances using YUM or DNF as it looks like it's running a known Linux distribution?,"Answer:
Whilst SL1 does utilize a well known Linux distribution, we have customized the installation to provide a self contained appliance that contains both the OS and SL1 application.
ScienceLogic will provide updates to the underlying OS through bundling these updates via normal SL1 updates.
Updating any of the appliance packages using publicly available packages through YUM, DNF or RPM can result in appliance instability, compatibility issues, compromise future updates and render the appliance unsupportable.
ScienceLogic will provide functional and security updates for as long as the SL1 version of the appliance is supported.
The lifecycle of SL1 versions can be reviewed in the Support Portal under the Documentation>Product Update section and clicking on the Product Life Cycle page.
Installing, updating or modifying any of the packages or system files outside of the SL1 process might render the appliance unsupportable. More information can be found here:
Does ScienceLogic support installation of third-party packages on SL1 appliances?",Update_SL1_YumDNF,,,
13,How to Resolve Split-Brain in OL8,"""Resolving Split-Brain in OL8
Symptoms
Both nodes show r0 role: Primary or r0 role: Secondary
peer-disk: Unknown or peer-disk: WFConnection
drbdadm status shows split-brain state
Resolution Steps
Check current status

drbdadm status
Ensure resource is up

sudo drbdadm up r0
Demote the incorrect Primary (if both are Primary)

sudo drbdadm secondary r0 --force
Promote the correct Primary (if both are Secondary)

sudo drbdadm primary r0 --force
On the Secondary node, discard local data

sudo drbdadm connect --discard-my-data r0
On the Primary node, reconnect

sudo drbdadm connect r0
Verify connection

drbdadm status    ↓
Note: Always resolve on the passive node first. Use --discard-my-data only if you''re certain about data loss.""","Resolving Split-Brain in OL8, sciencelogic_ha_and_dr_12-3-0",,,
14,How to discover/classify Windows Server 2025,"Procedure Ensure the platform is on version 12.3.1+, update the platform if necessary Update the Microsoft: Windows Server PowerPack to version 118+",How to discover_classify Windows Server 2025,,,
15,How do I track down what Powerpack a specific report comes from?,"In this example we want to know where the report Reports > Other > ""Dashboard Snapshot"" comes from.
SELECT drn.ppguid, drn.title, pp.name AS PowerPack FROM master_reports.dynamic_reports_new drn JOIN master.powerpack pp ON drn.ppguid = pp.ppguid WHERE drn.title like '%Dashboard Snapshot%' limit 1;
The return in our lab shows this: ppguid title PowerPack
1F97CBC659586E1F784DC330BFEF9B9C Dashboard Snapshot EM7 Scheduled Dashboard Resources
So we now know it comes from the EM7 Scheduled Dashboard Resources PowerPack. Should we wish to reinstall this report by reinstalling the Powerpack we can do so now that we know what PowerPack it came from. Please keep in mind some PowerPacks when removed will remove the data it collects from devices aligned to the applications contained within those PowerPacks, so caution is always advised when adding or removing components from the system. In the above example that PowerPack only contains that dashboard, and should be safe to reinstall or remove the PowerPack.","How do I track down what Powerpack a specific report comes from?,  Troubleshooting Dynamic Application SIGTERM",,,
